,pred_summary_score,my_pred_summary_score
156,"(0.24920127795527153, 0.019292604501607715)","[0.125, 0.1038961038961039, 0.10752688172043011]"
157,"(0.2833333333333333, 0.08474576271186442)","[0.32, 0.2, 0.21621621621621626]"
158,"(0.15384615384615383, 0.0)","[0.125, 0.06060606060606061, 0.06756756756756757]"
159,"(0.17687074829931973, 0.0)","[0.1, 0.06666666666666667, 0.07142857142857142]"
160,"(0.16176470588235298, 0.0)","[0.07407407407407407, 0.046511627906976744, 0.05025125628140704]"
161,"(0.17100371747211895, 0.014981273408239702)","[0.1111111111111111, 0.125, 0.12195121951219513]"
162,"(0.21917808219178078, 0.04166666666666667)","[0.21212121212121213, 0.1794871794871795, 0.1851851851851852]"
163,"(0.20746887966804978, 0.04184100418410042)","[0.24390243902439024, 0.13333333333333333, 0.1466275659824047]"
164,"(0.26760563380281693, 0.028571428571428567)","[0.09090909090909091, 0.041666666666666664, 0.04672897196261682]"
165,"(0.2268041237113402, 0.021052631578947368)","[0.3125, 0.14705882352941177, 0.16447368421052633]"
166,"(0.22429906542056074, 0.0)","[0.1320754716981132, 0.11290322580645161, 0.11627906976744184]"
167,"(0.3280757097791798, 0.0761904761904762)","[0.1951219512195122, 0.24242424242424243, 0.23121387283236994]"
168,"(0.13698630136986303, 0.0)","[0.0, 0.0, 0]"
169,"(0.22857142857142856, 0.019417475728155338)","[0.12, 0.07894736842105263, 0.0847457627118644]"
170,"(0.21989528795811517, 0.010582010582010583)","[0.1, 0.07017543859649122, 0.07462686567164178]"
171,"(0.16981132075471697, 0.019230769230769232)","[0.18181818181818182, 0.10526315789473684, 0.11494252873563218]"
172,"(0.2549800796812749, 0.032128514056224904)","[0.08333333333333333, 0.06557377049180328, 0.0684931506849315]"
173,"(0.23357664233576644, 0.05925925925925926)","[0.21428571428571427, 0.1935483870967742, 0.19736842105263158]"
174,"(0.14965986394557826, 0.041379310344827586)","[0.17142857142857143, 0.11764705882352941, 0.12552301255230125]"
175,"(0.3636363636363637, 0.14814814814814814)","[0.3333333333333333, 0.2571428571428571, 0.26946107784431134]"
176,"(0.2191780821917808, 0.0)","[0.09090909090909091, 0.06818181818181818, 0.07177033492822966]"
177,"(0.1350210970464135, 0.0)","[0.08333333333333333, 0.0196078431372549, 0.023148148148148147]"
178,"(0.15714285714285714, 0.0)","[0.07142857142857142, 0.07317073170731707, 0.0728155339805825]"
179,"(0.28, 0.04040404040404041)","[0.2653061224489796, 0.19117647058823528, 0.20249221183800625]"
180,"(0.11887727022564668, 0.031955922865013774)","[0.4175824175824176, 0.08656036446469248, 0.1028695181375203]"
181,"(0.29508196721311475, 0.03333333333333333)","[0.07692307692307693, 0.06451612903225806, 0.06666666666666667]"
182,"(0.08421052631578947, 0.0)","[0.09090909090909091, 0.07142857142857142, 0.0746268656716418]"
