,pred_summary_score,my_pred_summary_score
2110,"(0.302405498281787, 0.2214532871972318)","[0.84375, 0.25471698113207547, 0.29605263157894735]"
2442,"(0.16536661466458658, 0.08763693270735523)","[0.9696969696969697, 0.14814814814814814, 0.17837235228539575]"
581,"(0.35102040816326535, 0.1646090534979424)","[0.7741935483870968, 0.3116883116883117, 0.35398230088495575]"
2828,"(0.25365853658536586, 0.08866995073891626)","[0.4375, 0.1891891891891892, 0.21341463414634146]"
3956,"(0.334841628959276, 0.2100456621004566)","[0.6875, 0.2972972972972973, 0.33536585365853655]"
423,"(0.17657657657657658, 0.10488245931283907)","[0.8620689655172413, 0.14124293785310735, 0.16960651289009498]"
616,"(0.3296703296703297, 0.16666666666666666)","[0.46875, 0.2830188679245283, 0.3073770491803278]"
618,"(0.31884057971014496, 0.19708029197080293)","[0.7272727272727273, 0.22429906542056074, 0.2603036876355749]"
57,"(0.12415654520917678, 0.05142083897158322)","[0.8888888888888888, 0.10126582278481013, 0.12307692307692308]"
2207,"(0.3018867924528302, 0.08860759493670886)","[0.9, 0.26732673267326734, 0.3110599078341014]"
1157,"(0.22167487684729065, 0.1188118811881188)","[0.75, 0.12, 0.14423076923076922]"
3898,"(0.24855491329479767, 0.18604651162790697)","[0.7272727272727273, 0.22857142857142856, 0.26490066225165565]"
936,"(0.27741935483870966, 0.0909090909090909)","[0.6451612903225806, 0.19607843137254902, 0.2277904328018223]"
4450,"(0.24766355140186916, 0.18309859154929578)","[1.0, 0.16167664670658682, 0.19424460431654678]"
1825,"(0.33557046979865773, 0.0816326530612245)","[0.3333333333333333, 0.24444444444444444, 0.25821596244131456]"
3930,"(0.35687732342007433, 0.20973782771535582)","[0.8181818181818182, 0.36, 0.4054054054054054]"
4257,"(0.29411764705882354, 0.05952380952380952)","[0.4642857142857143, 0.21311475409836064, 0.2389705882352941]"
3799,"(0.4117647058823529, 0.19047619047619047)","[0.5666666666666667, 0.2833333333333333, 0.3148148148148148]"
2977,"(0.14814814814814814, 0.0)","[0.06666666666666667, 0.05263157894736842, 0.054945054945054944]"
2530,"(0.3598615916955017, 0.23693379790940766)","[0.875, 0.29473684210526313, 0.3398058252427184]"
26,"(0.2937062937062937, 0.15492957746478872)","[0.7941176470588235, 0.26732673267326734, 0.30821917808219185]"
2235,"(0.0344692518605562, 0.01724813798510388)","[0.7575757575757576, 0.035868005738880916, 0.044310528181495924]"
127,"(0.2342733188720173, 0.13507625272331153)","[0.9259259259259259, 0.1937984496124031, 0.23020257826887663]"
1920,"(0.4097560975609756, 0.19704433497536947)","[0.6206896551724138, 0.2465753424657534, 0.2803738317757009]"
2523,"(0.08033826638477802, 0.029661016949152543)","[0.5161290322580645, 0.045845272206303724, 0.056061667834618086]"
3846,"(0.1867219917012448, 0.125)","[0.90625, 0.18125, 0.21577380952380953]"
539,"(0.2323232323232323, 0.01020408163265306)","[0.3333333333333333, 0.15625, 0.17482517482517482]"
2958,"(0.19851116625310172, 0.09476309226932668)","[0.6875, 0.18181818181818182, 0.21317829457364343]"
1919,"(0.222737819025522, 0.17249417249417248)","[0.896551724137931, 0.20155038759689922, 0.2385321100917431]"
696,"(0.42060085836909866, 0.30303030303030304)","[0.9285714285714286, 0.3561643835616438, 0.40625000000000006]"
496,"(0.1663893510815308, 0.12353923205342239)","[0.8214285714285714, 0.1377245508982036, 0.16522988505747127]"
1780,"(0.6464646464646465, 0.4948453608247423)","[0.8260869565217391, 0.7307692307692307, 0.748031496062992]"
1400,"(0.07254901960784314, 0.03536345776031435)","[0.65625, 0.0621301775147929, 0.07586705202312138]"
1894,"(0.24438902743142144, 0.10526315789473685)","[0.896551724137931, 0.19117647058823528, 0.22687609075043624]"
3736,"(0.2295081967213115, 0.13736263736263735)","[0.7142857142857143, 0.19230769230769232, 0.22522522522522526]"
2556,"(0.1739130434782609, 0.06113537117903929)","[0.6896551724137931, 0.1282051282051282, 0.15313935681470137]"
690,"(0.20588235294117646, 0.1477832512315271)","[0.6666666666666666, 0.12213740458015267, 0.145985401459854]"
